week,config_add,shell_add,python_add,docs_add,unknown_add,terraform_add,config_del,shell_del,python_del,docs_del,unknown_del,terraform_del,commit_feat,commit_refactor,commit_fix,commit_style,commit_test,commit_other,commit_docs,commit_chore,commit_ci,commit_perf,python_package,terraform_module,design_spec,uml_diagram,go_add,go_del,pypi_package,helm_chart,dockerfile,break%,deep_work%,deep_life%,overtime,vacation_days,work_days,life_days,public_holidays,life_hours,work_hours,sick_days
2022_21,224.0,,3511.0,131.0,37.0,,203.0,,2236.0,279.0,40.0,,36.0,25.0,26.0,10.0,7.0,1.0,3.0,18.0,,,15.0,15.0,5.0,10.0,,,73.0,21.0,23.0,6.0,99.0,91.0,4.4,0.0,4.0,3.0,1.0,8.35,34.39,
2022_22,1207.0,,5652.0,622.0,531.0,127.0,858.0,,3307.0,337.0,304.0,19.0,53.0,10.0,21.0,7.0,2.0,4.0,7.0,10.0,,,15.0,15.0,5.0,12.0,,,73.0,23.0,27.0,4.0,94.0,29.0,5.14,0.0,5.0,3.0,1.0,1.38,42.65,
2022_23,,,,87.0,,,,,,4.0,,,,,,,,,1.0,,,,15.0,15.0,5.0,12.0,,,73.0,23.0,27.0,0.0,,13.0,0.0,4.0,0.0,1.0,1.0,2.92,,
2022_24,239.0,,1174.0,421.0,0.0,131.0,90.0,,454.0,274.0,0.0,61.0,23.0,2.0,4.0,,2.0,,1.0,3.0,,,15.0,15.0,6.0,13.0,,,73.0,23.0,27.0,6.0,92.0,8.0,0.9300000000000006,0.0,5.0,4.0,0.0,2.49,38.44,
2022_25,456.0,,4374.0,186.0,111.0,,175.0,,2388.0,41.0,73.0,,30.0,7.0,17.0,5.0,4.0,3.0,4.0,5.0,,,15.0,15.0,6.0,13.0,,,73.0,24.0,28.0,6.0,96.0,90.0,14.499999999999998,0.0,7.0,3.0,0.0,4.16,52.01,
2022_26,231.0,,4803.0,405.0,8.0,203.0,63.0,,917.0,190.0,0.0,4.0,35.0,3.0,11.0,,,,4.0,3.0,,,15.0,16.0,6.0,13.0,,,73.0,24.0,28.0,7.0,98.0,73.0,-5.97,0.0,5.0,2.0,0.0,4.04,31.53,
2022_27,1153.0,,4106.0,164.0,196.0,179.0,22.0,,1481.0,46.0,0.0,51.0,33.0,6.0,34.0,5.0,14.0,2.0,6.0,10.0,,,15.0,17.0,6.0,13.0,,,73.0,25.0,29.0,4.0,92.0,59.0,2.2299999999999995,0.0,5.0,2.0,0.0,4.1,39.73,
2022_28,209.0,,2316.0,638.0,1694.0,,2.0,,531.0,208.0,2.0,,28.0,8.0,12.0,,1.0,,5.0,2.0,,,16.0,17.0,6.0,15.0,,,81.0,25.0,30.0,6.0,99.0,51.0,4.229999999999999,2.0,3.0,2.0,0.0,2.48,26.73,
2022_29,720.0,,1717.0,17.0,283.0,107.0,360.0,,1031.0,4.0,161.0,61.0,51.0,12.0,19.0,6.0,10.0,,2.0,17.0,,,18.0,18.0,6.0,15.0,,,82.0,26.0,32.0,5.0,97.0,44.0,3.740000000000002,2.0,3.0,4.0,0.0,4.86,26.24,
2022_30,522.0,,2098.0,347.0,125.0,68.0,20.0,,571.0,130.0,1.0,0.0,33.0,13.0,11.0,,2.0,,4.0,7.0,,,19.0,19.0,6.0,17.0,,,83.0,27.0,33.0,5.0,89.0,57.0,0.1699999999999981,0.0,5.0,6.0,0.0,8.03,37.66,
